"File","Category","Lines","UseClient","UseStateCalls","EffectCalls","UntypedValueReferences","RawFormControls","DialogContentSites","ContextCreationLines","Imports","TestsExplicitlyNamingSource","Review"
"app/(game)/layout.tsx","route/UI entry","10","false","0","0","0","0","0","","react;@/components/login-hero;../providers","","AST/source inventory only; see domain reports for review coverage"
"app/(game)/page.tsx","route/UI entry","1315","true","12","12","7","0","1","","@/components/chat;@/components/app-update-banner;@/components/status-bar;@/components/solana;@/components/theme-selector;@/components/ui/alert;@/components/ui/button;@/components/ui/dialog;@/components/ui/loading;@/components/ui/performance-mode;@/components/ui/toggle-group;@/components/login-hero;@/lib/farm-view-context;@/lib/tab-visibility-context;@/lib/types;lucide-react;next-themes;next/dynamic;next/image;react;react-hot-toast;@/components/auth/surface-switch-buttons;@/hooks/useAppAuthController;@/hooks/useAutoConnect;@/hooks/useBroadcastMessages;@/hooks/useFarcaster;@/hooks/useMediaQuery;@/hooks/useWebQueryState;@/lib/app-events;@/lib/auth-surface;@/lib/env-config;@/lib/farcaster-miniapp-auth-client;@/lib/local-test-mode;@/lib/solana-auth-availability;@/lib/utils;@/components/tutorial;@/components/ui/error-boundary;@/hooks/useKeyboardAware","smoke/activity-filters-smoke.ts;smoke/production-fixes-smoke.ts;smoke/provider-bundle-structure-smoke.ts","AST/source inventory only; see domain reports for review coverage"
"app/.well-known/farcaster.json/route.ts","app infrastructure","85","false","0","0","0","0","0","","","","AST/source inventory only; see domain reports for review coverage"
"app/admin/layout.tsx","route/UI entry","23","false","0","0","0","0","0","","next;../core-providers","","AST/source inventory only; see domain reports for review coverage"
"app/admin/page.tsx","route/UI entry","4031","true","76","3","50","1","2","","@/components/theme-selector;@/components/ui/alert;@/components/ui/button;@/components/ui/card;@/components/ui/dialog;@/components/ui/input;@/components/ui/textarea;@/lib/broadcast-service;@/lib/env-config;@/lib/types;date-fns;lucide-react;next/image;react;react-hot-toast","","AST/source inventory only; see domain reports for review coverage"
"app/api/activity/my/route.ts","API route","41","false","0","0","1","0","0","","next/server;@/lib/activity-service;@/lib/utils","smoke/activity-filters-smoke.ts","AST/source inventory only; see domain reports for review coverage"
"app/api/activity/recent/route.ts","API route","28","false","0","0","1","0","0","","next/server;@/lib/activity-service","","AST/source inventory only; see domain reports for review coverage"
"app/api/admin/auth/route.ts","API route","21","false","0","0","0","0","0","","@/lib/auth-utils;next/server","","AST/source inventory only; see domain reports for review coverage"
"app/api/admin/batch-limits/route.ts","API route","245","false","0","0","3","0","0","","@/lib/auth-utils;@/lib/base-rpc;@/lib/contracts;@/public/abi/pixotchi-v3-abi;next/server;viem","","AST/source inventory only; see domain reports for review coverage"
"app/api/admin/broadcast/cleanup/route.ts","API route","92","false","0","0","0","0","0","","next/server;@/lib/auth-utils;@/lib/broadcast-service","","AST/source inventory only; see domain reports for review coverage"
"app/api/admin/broadcast/route.ts","API route","204","false","0","0","0","0","0","","next/server;@/lib/auth-utils;@/lib/broadcast-service","","AST/source inventory only; see domain reports for review coverage"
"app/api/admin/builder-code/route.ts","API route","66","false","0","0","1","0","0","","next/server;ox/erc8021;@/lib/auth-utils;@/lib/env-config","","AST/source inventory only; see domain reports for review coverage"
"app/api/admin/claims/route.ts","API route","215","false","0","0","5","0","0","","next/server;@/lib/auth-utils;@/lib/redis","","AST/source inventory only; see domain reports for review coverage"
